waktu,beras,telur,gula,daging,cabai
2018-09-25,11700.0,19500.0,12400.0,27000.0,17650.0
2018-09-26,11700.0,19500.0,12400.0,26250.0,17900.0
2018-09-27,11700.0,19500.0,12400.0,26250.0,18400.0
2018-09-28,11700.0,19250.0,12400.0,28000.0,19250.0
2018-09-29,11700.0,19250.0,12400.0,28000.0,19250.0
2018-09-30,11700.0,19250.0,12400.0,28000.0,19250.0
2018-10-01,11750.0,19250.0,12400.0,28000.0,19650.0
2018-10-02,11750.0,19250.0,12400.0,29000.0,19650.0
2018-10-03,11750.0,20000.0,12400.0,30500.0,19150.0
2018-10-04,11750.0,20000.0,12400.0,30500.0,20400.0
2018-10-05,11750.0,20000.0,12400.0,32000.0,21900.0
2018-10-06,11750.0,20000.0,12400.0,32000.0,21900.0
2018-10-07,11750.0,20000.0,12400.0,32000.0,21900.0
2018-10-08,11750.0,20000.0,12400.0,32000.0,21250.0
2018-10-09,11750.0,20000.0,12400.0,32000.0,21650.0
2018-10-10,11750.0,20000.0,12400.0,32000.0,21900.0
2018-10-11,11750.0,20000.0,12400.0,32000.0,21650.0
2018-10-12,11850.0,20000.0,12400.0,32000.0,22250.0
2018-10-13,11850.0,20000.0,12400.0,32000.0,22250.0
2018-10-14,11850.0,20000.0,12400.0,32000.0,22250.0
2018-10-15,11850.0,20000.0,12400.0,32000.0,23400.0
2018-10-16,11850.0,20000.0,12400.0,32000.0,23650.0
2018-10-17,11850.0,20000.0,12400.0,32000.0,24250.0
2018-10-18,11850.0,20000.0,12400.0,31000.0,23150.0
2018-10-19,11850.0,20000.0,12400.0,31000.0,23150.0
2018-10-20,11850.0,20000.0,12400.0,31000.0,23150.0
2018-10-21,11850.0,20000.0,12400.0,31000.0,23150.0
2018-10-22,11850.0,20000.0,12400.0,31000.0,23000.0
2018-10-23,11850.0,20000.0,12400.0,30000.0,23000.0
2018-10-24,11850.0,20000.0,12400.0,30000.0,23400.0
2018-10-25,11850.0,20000.0,12400.0,30500.0,23000.0
2018-10-26,11850.0,20000.0,12400.0,30500.0,22650.0
2018-10-27,11850.0,20000.0,12400.0,30500.0,22650.0
2018-10-28,11850.0,20000.0,12400.0,30500.0,22650.0
2018-10-29,11800.0,20000.0,12400.0,30500.0,22650.0
2018-10-30,11800.0,20000.0,12400.0,31000.0,22400.0
2018-10-31,11800.0,20000.0,12350.0,32000.0,22000.0
2018-11-01,11850.0,20000.0,12350.0,32000.0,22000.0
2018-11-02,11850.0,20000.0,12350.0,32000.0,23900.0
2018-11-03,11850.0,20000.0,12350.0,32000.0,23900.0
2018-11-04,11850.0,20000.0,12350.0,32000.0,23900.0
2018-11-05,11850.0,20000.0,12350.0,32000.0,24000.0
2018-11-06,11850.0,20000.0,12350.0,32000.0,24000.0
2018-11-07,11850.0,20000.0,12350.0,32000.0,23900.0
2018-11-08,11850.0,20000.0,12350.0,32000.0,23750.0
2018-11-09,11850.0,20000.0,12350.0,32000.0,23650.0
2018-11-10,11850.0,20000.0,12350.0,32000.0,23650.0
2018-11-11,11850.0,20000.0,12350.0,32000.0,23650.0
2018-11-12,11850.0,20750.0,12200.0,32000.0,22400.0
2018-11-13,11850.0,20750.0,12200.0,32000.0,22400.0
2018-11-14,11850.0,22000.0,12200.0,31500.0,21500.0
2018-11-15,11850.0,22000.0,12200.0,31500.0,21250.0
2018-11-16,11850.0,22000.0,12200.0,32000.0,20750.0
